date,total_pilgrims,band,band_name
2023-02-02,60609,2,MODERATE
2023-02-03,57147,1,LIGHT
2023-02-04,72226,3,BUSY
2023-02-05,78340,3,BUSY
2023-02-06,71496,3,BUSY
2023-02-07,65297,2,MODERATE
2023-02-08,63315,2,MODERATE
2023-02-09,59090,1,LIGHT
2023-02-10,57702,1,LIGHT
2023-02-11,75728,3,BUSY
2023-02-12,80969,4,HEAVY
2023-02-13,71434,3,BUSY
2023-02-14,70789,3,BUSY
2023-02-15,66033,2,MODERATE
2023-02-16,54469,1,LIGHT
2023-02-17,65633,2,MODERATE
2023-02-18,71350,3,BUSY
2023-02-19,79555,3,BUSY
2023-02-20,61374,2,MODERATE
2023-02-21,53755,1,LIGHT
2023-02-22,62101,2,MODERATE
2023-02-23,57737,1,LIGHT
2023-02-24,61265,2,MODERATE
2023-02-25,76736,3,BUSY
2023-02-26,81170,4,HEAVY
2023-02-27,71387,3,BUSY
2023-02-28,59392,1,LIGHT
2023-03-01,60931,2,MODERATE
2023-03-02,60682,2,MODERATE
2023-03-03,58137,1,LIGHT
2023-03-04,77522,3,BUSY
2023-03-05,74994,3,BUSY
2023-03-06,65613,2,MODERATE
2023-03-07,59751,1,LIGHT
2023-03-08,61921,2,MODERATE
2023-03-09,58494,1,LIGHT
2023-03-10,63443,2,MODERATE
2023-03-11,79561,3,BUSY
2023-03-12,81458,4,HEAVY
2023-03-13,68365,2,MODERATE
2023-03-14,63285,2,MODERATE
2023-03-15,63535,2,MODERATE
2023-03-16,59776,1,LIGHT
2023-03-17,62938,2,MODERATE
2023-03-18,75452,3,BUSY
2023-03-19,81700,4,HEAVY
2023-03-20,62824,2,MODERATE
2023-03-21,57559,1,LIGHT
2023-03-22,53146,1,LIGHT
2023-03-23,58955,1,LIGHT
2023-03-24,63507,2,MODERATE
2023-03-25,77856,3,BUSY
2023-03-26,79415,3,BUSY
2023-03-27,67886,2,MODERATE
2023-03-28,70605,3,BUSY
2023-03-29,64754,2,MODERATE
2023-03-30,60699,2,MODERATE
2023-03-31,61425,2,MODERATE
2023-04-01,75510,3,BUSY
