date,total_pilgrims
2013-10-17,56136
2013-10-18,62341
2013-10-19,71231
2013-10-20,72279
2013-10-21,57964
2013-10-22,43767
2013-10-23,42186
2013-10-24,49504
2013-10-25,39816
2013-10-26,62184
2013-10-27,57762
2013-10-28,38251
2013-10-30,37671
2013-10-31,42474
2013-11-02,66838
2013-11-03,68003
2013-11-04,69072
2013-11-05,55789
2013-11-06,51815
2013-11-07,50762
2013-11-08,63396
2013-11-09,66768
2013-11-10,67580
2013-11-11,70016
2013-11-12,52872
2013-11-13,46719
2013-11-15,57969
2013-11-16,67080
2013-11-18,48658
2013-11-19,46204
2013-11-20,50140
2013-11-21,50104
2013-11-22,52055
2013-11-23,65501
2013-11-25,51051
2013-11-26,48084
2013-11-27,42862
2013-11-28,48067
2013-11-29,55055
2013-11-30,67041
2013-12-01,66020
2013-12-02,58695
2013-12-03,45019
2013-12-04,49085
2013-12-05,49741
2013-12-09,67341
2013-12-10,48242
2013-12-11,45151
2013-12-12,51648
2013-12-14,70205
2013-12-15,72528
2013-12-16,56132
2013-12-17,55870
2013-12-18,47636
2013-12-19,44606
2013-12-21,64836
2013-12-22,68289
2013-12-24,61412
2013-12-25,61959
2013-12-26,55556
2013-12-27,58402
2013-12-28,69693
2013-12-29,71064
2013-12-30,60758
2013-12-31,44524
2014-01-01,73051
2014-01-03,48003
2014-01-04,58279
2014-01-05,58708
2014-01-06,50075
2014-01-07,48434
2014-01-08,42666
2014-01-09,45420
2014-01-10,44745
2014-01-11,61467
2014-01-12,77268
2014-01-13,68991
2014-01-14,71283
2014-01-15,61134
2014-01-16,55315
2014-01-17,63283
2014-01-18,73462
2014-01-19,73261
2014-01-20,66392
2014-01-21,55266
2014-01-22,49165
2014-01-23,52007
2014-01-24,52403
2014-01-25,67429
2014-01-26,71336
2014-01-27,56097
2014-01-28,54778
2014-01-29,41668
2014-01-30,43096
2014-01-31,47096
2014-02-01,60165
2014-02-02,66176
2014-02-03,61143
2014-02-04,52518
2014-02-05,50226
2014-02-06,58812
2014-02-07,54031
2014-02-08,67586
2014-02-09,71451
2014-02-10,65735
2014-02-11,53449
2014-02-12,50177
2014-02-13,50011
2014-02-14,51693
2014-02-15,65163
2014-02-16,70173
2014-02-17,55093
2014-02-18,51991
2014-02-19,43768
2014-02-20,46483
2014-02-21,54197
2014-02-22,63807
2014-02-23,65161
2014-02-24,64771
2014-02-25,54276
2014-02-26,46293
2014-02-27,49407
2014-02-28,53022
2014-03-01,64399
2014-03-02,66159
2014-03-03,60130
2014-03-05,50390
2014-03-06,51110
2014-03-08,69447
2014-03-09,75591
2014-03-10,63089
2014-03-11,50170
2014-03-12,51899
2014-03-13,52402
2014-03-14,55723
2014-03-15,69134
2014-03-16,70050
2014-03-18,61905
2014-03-19,51106
2014-03-20,52058
2014-03-21,54739
2014-03-22,63089
2014-03-23,78277
2014-03-24,53973
2014-03-25,48258
2014-03-26,54672
2014-03-27,58449
2014-03-28,54104
2014-03-29,68837
2014-03-30,73050
2014-03-31,56095
2014-04-01,54992
2014-04-03,55192
2014-04-04,55832
2014-04-06,71731
2014-04-07,56336
2014-04-08,48532
2014-04-09,41450
2014-04-10,53884
2014-04-11,56293
2014-04-12,67278
2014-04-13,75672
2014-04-14,76013
2014-04-15,60181
2014-04-16,49664
2014-04-17,55384
2014-04-18,56012
2014-04-19,72952
2014-04-20,80032
2014-04-21,67211
2014-04-22,53898
2014-04-23,42774
2014-04-24,52670
2014-04-25,62039
2014-04-26,68181
2014-04-27,73545
